"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Url"
2020,"Werder Bremen","Bundesliga","opponent",30,34,66,500,173,34.6,14.71,5.09,0.13,0.38,17.4,11,1,1,55.4,54.6,0.11,10.6,10.4,"https://fbref.com/en/squads/62add3bf/2019-2020/Werder-Bremen-Stats"
2020,"West Ham","Premier League","team",29,38,49,413,156,37.8,10.87,4.11,0.11,0.29,16.4,13,4,4,48.6,45.4,0.11,0.4,-0.4,"https://fbref.com/en/squads/7c21e445/2019-2020/West-Ham-United-Stats"
2020,"West Ham","Premier League","opponent",29,38,59,495,181,36.6,13.03,4.76,0.11,0.3,16.4,13,5,6,63.8,59.1,0.12,-4.8,-5.1,"https://fbref.com/en/squads/7c21e445/2019-2020/West-Ham-United-Stats"
2020,"Wolfsburg","Bundesliga","team",26,34,48,471,153,32.5,13.85,4.5,0.09,0.29,18,12,4,4,52.8,49.7,0.11,-4.8,-5.7,"https://fbref.com/en/squads/4eaa11d7/2019-2020/Wolfsburg-Stats"
2020,"Wolfsburg","Bundesliga","opponent",26,34,46,377,137,36.3,11.09,4.03,0.11,0.3,17.5,14,5,5,42.9,39.1,0.11,3.1,1.9,"https://fbref.com/en/squads/4eaa11d7/2019-2020/Wolfsburg-Stats"
2020,"Wolves","Premier League","team",21,38,49,457,142,31.1,12.03,3.74,0.1,0.32,17.4,13,4,4,54.1,51,0.11,-5.1,-6,"https://fbref.com/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats"
2020,"Wolves","Premier League","opponent",21,38,39,396,126,31.8,10.42,3.32,0.1,0.3,17.3,12,1,3,38,35.5,0.09,1,2.5,"https://fbref.com/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats"
2021,"Alavés","La Liga","team",30,38,35,339,95,28,8.92,2.5,0.09,0.32,17.4,12,5,8,42.6,36.4,0.11,-7.6,-6.4,"https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats"
2021,"Alavés","La Liga","opponent",30,38,57,395,139,35.2,10.39,3.66,0.14,0.39,17.1,16,3,3,49.9,47.5,0.12,7.1,6.5,"https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats"
2021,"Angers","Ligue 1","team",31,38,40,401,135,33.7,10.55,3.55,0.09,0.26,18.9,18,5,6,41.6,36.9,0.09,-1.6,-1.9,"https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats"
2021,"Angers","Ligue 1","opponent",31,38,57,388,131,33.8,10.21,3.45,0.13,0.38,18,18,7,8,52.3,46.6,0.12,4.7,3.4,"https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats"
2021,"Arminia","Bundesliga","team",26,34,23,331,100,30.2,9.74,2.94,0.07,0.22,18.5,14,1,2,32.9,31.3,0.1,-9.9,-9.3,"https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats"
2021,"Arminia","Bundesliga","opponent",26,34,51,442,164,37.1,13,4.82,0.1,0.28,17.1,9,5,6,56.8,52.1,0.12,-5.8,-6.1,"https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats"
2021,"Arsenal","Premier League","team",29,38,53,453,140,30.9,11.92,3.68,0.1,0.34,17.7,23,6,6,51.7,47,0.11,1.3,0,"https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats"
2021,"Arsenal","Premier League","opponent",29,38,35,412,126,30.6,10.84,3.32,0.08,0.26,17.8,12,2,3,43,40.6,0.1,-8,-7.6,"https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats"
2021,"Aston Villa","Premier League","team",24,38,52,514,178,34.6,13.53,4.68,0.09,0.26,17.3,16,5,6,52.5,47.9,0.1,-0.5,-0.9,"https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats"
2021,"Aston Villa","Premier League","opponent",24,38,45,532,180,33.8,14,4.74,0.08,0.22,18.1,27,5,6,51.1,46.4,0.09,-6.1,-6.4,"https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats"
2021,"Atalanta","Serie A","team",30,38,90,614,221,36,16.16,5.82,0.14,0.38,16.6,28,6,7,74.7,69.3,0.12,15.3,14.7,"https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats"
2021,"Atalanta","Serie A","opponent",30,38,46,317,104,32.8,8.34,2.74,0.13,0.39,18.4,14,5,8,41,34.7,0.11,5,6.3,"https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats"
2021,"Athletic Club","La Liga","team",27,38,43,399,128,32.1,10.5,3.37,0.1,0.3,17.4,15,4,5,43.1,39.2,0.1,-0.1,-0.2,"https://fbref.com/en/squads/2b390eca/2020-2021/Athletic-Club-Stats"
