"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"Premier League","M","ENG",2021,"vs Manchester Utd","opponent",29,38,42,424,137,32.3,11.16,3.61,0.09,0.28,17.8,14,4,4,41.4,38.4,0.09,0.6,-0.4
"Premier League","M","ENG",2021,"vs Newcastle Utd","opponent",27,38,59,567,183,32.3,14.92,4.82,0.1,0.3,17.7,17,4,5,58.3,54.4,0.1,0.7,0.6
"Premier League","M","ENG",2021,"vs Sheffield Utd","opponent",27,38,60,539,203,37.7,14.18,5.34,0.11,0.28,17.5,24,3,4,62.2,59.1,0.11,-2.2,-2.1
"Premier League","M","ENG",2021,"vs Southampton","opponent",29,38,67,419,169,40.3,11.03,4.45,0.14,0.35,16.7,15,8,9,53.1,46.1,0.11,13.9,12.9
"Premier League","M","ENG",2021,"vs Tottenham","opponent",24,38,42,476,145,30.5,12.53,3.82,0.07,0.22,17.4,9,10,10,49.1,41.2,0.09,-7.1,-9.2
"Premier League","M","ENG",2021,"vs West Brom","opponent",30,38,73,588,232,39.5,15.47,6.11,0.11,0.28,17.7,24,7,11,67.9,59.3,0.1,5.1,6.7
"Premier League","M","ENG",2021,"vs West Ham","opponent",24,38,43,459,143,31.2,12.08,3.76,0.09,0.28,18.2,18,3,5,48.7,44.8,0.1,-5.7,-4.8
"Premier League","M","ENG",2021,"vs Wolves","opponent",27,38,49,434,144,33.2,11.42,3.79,0.1,0.29,17,18,7,8,49.5,43.2,0.1,-0.5,-1.2
"Premier League","M","ENG",2022,"Arsenal","team",27,38,60,581,186,32,15.29,4.89,0.09,0.3,17.8,21,5,8,60.5,55.1,0.1,-0.5,-0.1
"Premier League","M","ENG",2022,"Aston Villa","team",31,38,50,461,159,34.5,12.13,4.18,0.1,0.3,17.6,20,3,3,44,42,0.09,6,5
